City,Latitude,Longitude
Austin,30.26715,-97.74306
Cedar Park,30.5052,-97.8203
Coupland,30.4596,-97.3900
Del Valley,30.2091,-97.6472
Florence,30.8413,-97.7936
Georgetown,30.63326, -97.67798
Granger,30.7177,-97.4428
Hutto,30.5427,-97.5467
Jarrell,30.8246,-97.6044
Leander,30.5788,-97.8531
Liberty Hill,30.6649,-97.9225
Manchaca,30.1405,-97.8330
Manor,30.3408,-97.5569
Pflugerville,30.4548,-97.6223
Round_Rock,30.5083,-97.6789
Spicewood,30.4760,-98.1566
Taylor,30.5708,-97.4094
Thrall,30.5905,-97.2969